ts_utc,open,high,low,close,volume,amount,source
1788110400,2509.86,2509.86,2497.52,2501.56,268.5127776,672120.79072455701,kucoin_legacy
1788110700,2501.39,2501.62,2494.35,2498.58,200.5571643,500883.684946043009,kucoin_legacy
1788111000,2497.66,2503.55,2494.61,2503.55,97.7426052,244282.757691170002,kucoin_legacy
1788111300,2503.64,2506.56,2503.04,2504.82,58.00061975,145272.446921558498,kucoin_legacy
1788111600,2505,2507.95,2503.68,2506.5,111.8832768,280298.420109940984,kucoin_legacy
1788111900,2506.85,2508.88,2504.97,2505.37,65.06393244,163101.240819361788,kucoin_legacy
1788112200,2506.38,2507.41,2501.08,2504.7,61.7048362,154498.257948187005,kucoin_legacy
1788112500,2504.69,2505.81,2502.39,2505.38,35.6624137,89293.787496684003,kucoin_legacy
1788112800,2505.38,2508.38,2504.32,2505.96,84.794794,212510.514895392989,kucoin_legacy
1788113100,2505.96,2505.96,2499.55,2499.55,90.172482,225550.48233465699,kucoin_legacy
1788113400,2499.38,2499.76,2496.45,2499.18,100.8191851,251877.82940396,kucoin_legacy
1788113700,2499.18,2503.32,2498.43,2503.07,62.0817892,155250.275846569013,kucoin_legacy
1788114000,2502.93,2502.99,2501.46,2502.97,12.9343419,32371.056257372002,kucoin_legacy
1788114300,2503.42,2512.6,2502.71,2511.69,111.7363043,279951.664814213,kucoin_legacy
1788114600,2511.7,2515.34,2510.37,2515.04,146.9632554,369334.226642859983,kucoin_legacy
1788114900,2515.04,2517.27,2514.21,2515.47,129.453576,325727.318012813979,kucoin_legacy
1788115200,2515.04,2515.43,2512.75,2514.08,33.4059805,83976.946066646007,kucoin_legacy
1788115500,2514.5,2514.5,2511.72,2513.53,63.769482,160266.658703230001,kucoin_legacy
1788115800,2513.15,2513.67,2509.63,2509.99,27.089088541782,68029.707664069036,kucoin_legacy
1788116100,2509.68,2512.24,2509.11,2510.68,28.9088845,72593.802823962993,kucoin_legacy
1788116400,2510.68,2510.74,2506.86,2508.69,82.6924542,207419.12447143899,kucoin_legacy
1788116700,2508.69,2510.67,2506.15,2508.25,28.3769188,71171.739587678996,kucoin_legacy
1788117000,2508.26,2512.08,2508.02,2512.06,29.9151389,75093.053307138995,kucoin_legacy
1788117300,2512.06,2513.18,2508.75,2509.5,48.3496365,121404.635634360005,kucoin_legacy
1788117600,2509.49,2509.49,2506,2506.42,65.7248656,164862.859881654003,kucoin_legacy
1788117900,2506.42,2507.18,2506.01,2506.14,12.4247981,31141.270795660999,kucoin_legacy
1788118200,2506.1,2507.18,2504.02,2505.47,172.8325521,432998.309979196987,kucoin_legacy
1788118500,2505.46,2505.46,2500.11,2500.89,65.4477492,163747.07146377099,kucoin_legacy
1788118800,2500.25,2502.25,2499.3,2499.3,15.5616621,38911.583926564999,kucoin_legacy
1788119100,2499.3,2501.46,2496.62,2498.92,89.5194367,223708.575350713014,kucoin_legacy
1788119400,2498.46,2500.36,2498.12,2499.67,123.6295705,308932.111025931023,kucoin_legacy
1788119700,2499.68,2503.55,2499.68,2503.55,56.1260507,140422.059569617995,kucoin_legacy
1788120000,2503.57,2507.31,2503.57,2504.88,101.5496935,254466.122931660997,kucoin_legacy
1788120300,2504.78,2506.1,2504.17,2506.04,24.7857305,62084.888338871999,kucoin_legacy
1788120600,2506.04,2507.5,2504.7,2504.78,15.5041499,38853.938015136002,kucoin_legacy
1788120900,2504.78,2505.69,2502.84,2505.26,20.8414259,52193.966932477997,kucoin_legacy
1788121200,2505.18,2507.76,2504.77,2507.75,37.5267356,94021.693163511998,kucoin_legacy
1788121500,2507.94,2508.28,2503.56,2503.57,38.9507852,97633.962854418001,kucoin_legacy
1788121800,2503.56,2503.56,2496.5,2500.54,130.5337654,326093.970312376972,kucoin_legacy
1788122100,2500.55,2504.29,2496.98,2497.56,31.7620757,79435.637394399993,kucoin_legacy
1788122400,2497.55,2497.55,2485.12,2488.07,375.9249543,936305.41591921798,kucoin_legacy
1788122700,2488.08,2494.71,2487.04,2493.91,90.5843472,225640.652084406,kucoin_legacy
1788123000,2494.03,2499.54,2494.03,2496.25,76.6603353,191452.372249462991,kucoin_legacy
1788123300,2496.25,2496.26,2490.38,2490.51,144.0014811,358963.774188023002,kucoin_legacy
1788123600,2490.67,2490.67,2460.02,2473.33,1013.3007458,2506106.242648575921,kucoin_legacy
1788123900,2473.35,2475.83,2470.57,2474.7,102.0460109,252321.289729520999,kucoin_legacy
1788124200,2474.7,2475.94,2466.4,2473.93,130.8691615,323568.881119834026,kucoin_legacy
1788124500,2474.15,2479.02,2473.64,2476.67,92.9310026,230125.605955731997,kucoin_legacy
1788124800,2476.67,2478.61,2471.45,2477.23,75.3802203,186595.988704926014,kucoin_legacy
1788125100,2477.22,2479.18,2475.14,2477.75,59.0889304,146399.291947110993,kucoin_legacy
1788125400,2477.75,2481.89,2476.6,2481.89,48.9406898,121372.647216849,kucoin_legacy
1788125700,2481.89,2483.33,2477.69,2478.57,35.8739089,88974.433738168998,kucoin_legacy
1788126000,2479.01,2479.84,2477.68,2479.84,22.8300389,56588.550122159002,kucoin_legacy
1788126300,2479.83,2479.86,2475.14,2476.47,42.8054671,105999.073113284001,kucoin_legacy
1788126600,2475.62,2478.93,2474.76,2478.13,17.2182526,42648.114165787003,kucoin_legacy
